id,name,team,position,price,status,chance_of_playing,news,news_added,minutes,total_points,form,xG,xA,ict_index,defensive_contribution,selected_by_percent,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,starts,clean_sheets,goals_conceded,xGC,saves,cost_change_start
126,O'Riley,BHA,MID,5.5,a,,,,202,16,0.0,1.21,0.18,19.6,10.0,0.1,2,,,2,1,3,2.53,0,0
127,Gomez,BHA,MID,5.0,a,,,,2117,97,0.0,6.24,1.72,119.0,238.0,3.5,,5,,26,8,29,29.35,0,0
128,Buonanotte,BHA,MID,5.0,u,0,Has joined Elche on loan for the rest of the season,2026-08-10T14:03:07.561436+00:00,81,3,0.0,0.06,0.28,7.4,6.0,0.0,,,,1,0,4,2.51,0,0
129,Ayari,BHA,MID,5.5,a,,,,1921,98,0.0,2.7,1.15,84.5,225.0,0.7,,2,4,20,6,24,26.85,0,0
130,Wieffer,BHA,DEF,5.0,a,,,,1901,94,0.0,1.92,1.86,97.7,269.0,0.3,,,,23,6,26,23.95,0,0
131,Baleba,BHA,MID,5.0,i,0,Ankle injury - Expected back 23 Aug,2026-08-06T16:00:10.997714+00:00,1646,56,0.0,0.78,0.72,36.8,209.0,0.2,,,,23,7,19,20.4,0,0
132,Howell,BHA,MID,4.5,u,0,Has joined Leicester City on loan for the rest of the season,2026-08-17T13:53:19.019938+00:00,92,4,0.0,0.0,0.03,1.8,7.0,0.1,,,,1,0,2,1.04,0,0
133,Watson,BHA,MID,5.0,u,0,Has joined Leicester City on loan for the rest of the season,2026-08-03T14:05:44.459483+00:00,57,5,0.0,0.04,0.03,1.6,5.0,0.0,,,,0,0,2,1.72,0,0
134,Oriola,BHA,MID,4.5,a,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.3,,,,0,0,0,0.0,0,0
135,Yohanna,BHA,MID,5.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
136,Welbeck,CHE,FWD,6.0,d,75,Unspecified injury - 75% chance of playing,2026-08-20T14:00:07.949090+00:00,2249,126,0.0,12.36,1.4,168.2,112.0,1.5,,,,26,10,28,31.68,0,0
137,Tzimas,BHA,FWD,5.5,i,0,Knee injury - Unknown return date,2026-07-23T12:01:23.432796+00:00,132,16,0.0,0.44,0.11,17.7,15.0,0.0,,,,1,0,2,2.59,0,0
138,Kostoulas,BHA,FWD,5.5,a,,,,351,35,0.0,2.12,0.54,52.4,41.0,0.2,,,,2,1,9,6.04,0,0
139,Ferguson,BHA,FWD,5.0,i,0,Ankle injury - Expected back 10 Oct,2026-07-23T12:01:23.448357+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
140,Sánchez,CHE,GKP,5.0,a,,,,3040,113,0.0,0.0,0.04,86.7,0.0,2.3,,,,35,9,49,48.64,98,0
141,Jörgensen,CHE,GKP,5.0,u,0,Has joined RC Strasbourg on loan for the rest of the season,2026-08-12T14:07:02.607115+00:00,378,9,0.0,0.0,0.0,7.9,0.0,0.0,,,,3,0,5,4.12,8,0
142,James,CHE,DEF,5.5,a,,,,1957,115,0.0,1.04,3.2,106.1,128.0,9.4,,1,1,20,8,20,28.75,0,0
143,Chalobah,CHE,DEF,5.5,u,0,Has joined Como permanently,2026-08-10T14:03:50.769483+00:00,2780,136,0.0,1.44,1.03,99.1,265.0,0.3,,,,31,9,40,40.83,0,0
144,Gusto,CHE,DEF,5.0,a,,,,2255,96,0.0,1.56,2.97,109.8,126.0,1.1,,,,26,7,36,37.13,0,0
145,Fofana,CHE,DEF,5.0,s,0,Suspended until 6 Sep,2026-07-23T12:01:23.464591+00:00,1718,65,0.0,0.72,0.6,60.4,206.0,0.0,,,,20,4,25,25.81,0,0
146,B.Badiashile,CHE,DEF,4.5,a,,,,470,7,0.0,0.0,0.06,11.4,48.0,0.0,,,,6,0,10,7.41,0,0
147,Tosin,CHE,DEF,4.5,a,,,,788,34,0.0,0.11,0.4,29.3,97.0,0.2,,,,8,2,14,13.25,0,0
148,Hato,CHE,DEF,4.5,a,,,,1139,19,0.0,0.3,0.61,38.4,99.0,0.5,,,,12,0,27,18.5,0,0
149,Colwill,CHE,DEF,5.0,a,,,,225,8,0.0,0.0,0.12,8.0,25.0,1.6,,,,2,0,4,3.36,0,0
150,M.Sarr,CHE,DEF,4.5,a,,,,100,3,0.0,0.35,0.0,1.3,8.0,0.1,,,,1,0,3,1.63,0,0
151,Acheampong,CHE,DEF,4.5,a,,,,657,39,0.0,0.62,0.13,24.4,44.0,0.3,,,,8,2,13,15.66,0,0
152,Palestra,CHE,DEF,5.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,2.9,,,,0,0,0,0.0,0,0
153,Disasi,CHE,DEF,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,88.0,0.1,,,,0,0,0,0.0,0,0
154,Palmer,CHE,MID,9.5,a,,,,1954,114,0.0,10.55,2.49,147.7,135.0,10.4,1,3,,24,3,33,31.13,0,0
155,Enzo,CHE,MID,7.0,a,,,,3114,157,0.0,11.26,7.26,264.6,244.0,5.0,2,2,3,35,8,46,44.89,0,0
156,Neto,CHE,MID,6.5,a,,,,2629,125,0.0,4.59,6.84,186.7,122.0,1.3,,4,2,30,11,33,37.54,0,0
157,Estêvão,CHE,MID,6.5,a,,,,839,58,0.0,2.91,2.14,72.6,56.0,1.3,3,,5,12,4,11,10.29,0,0
158,Gittens,CHE,MID,6.0,a,,,,486,25,0.0,0.81,0.94,31.3,29.0,0.0,,,,5,1,7,8.89,0,0
159,Caicedo,CHE,MID,5.5,a,,,,2796,110,0.0,1.45,2.38,109.2,366.0,3.9,,,,32,6,47,42.54,0,0
160,Garnacho,AVL,MID,6.0,a,,,,1261,56,0.0,3.44,3.68,100.5,71.0,0.6,,,,14,4,20,20.52,0,0
161,Lavia,CHE,MID,5.0,a,,,,374,13,0.0,0.21,0.55,9.5,37.0,0.1,,,,4,0,10,8.53,0,0
162,Andrey Santos,MUN,MID,5.0,a,,,,1247,47,0.0,2.0,0.88,47.5,129.0,1.1,,,,13,1,18,18.91,0,0
163,D.Essugo,CHE,MID,4.5,a,,,,26,1,0.0,0.0,0.01,1.6,8.0,0.2,,,,0,0,1,0.55,0,0
164,Quenda,CHE,MID,5.5,a,100,,2026-07-24T20:30:10.609931+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0
165,João Pedro,CHE,FWD,7.5,a,,,,2658,177,0.0,14.91,1.96,212.1,138.0,63.9,,,,31,10,36,37.25,0,0
166,N.Jackson,CHE,FWD,6.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.3,,,,0,0,0,0.0,0,0
167,Delap,CHE,FWD,5.5,a,,,,1092,45,0.0,4.54,0.23,47.3,42.0,0.5,4,,,12,2,18,16.67,0,0
168,Marc Guiu,CHE,FWD,5.0,a,,,,265,13,0.0,1.54,0.29,13.1,8.0,0.5,,,,1,0,3,5.89,0,0
169,Mheuka,CHE,FWD,4.5,a,,,,1,1,0.0,0.0,0.0,0.2,1.0,0.3,,,,0,0,0,0.05,0,0
170,Emegha,CHE,FWD,5.0,a,100,,2026-07-24T20:30:10.622380+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
171,Dovin,COV,GKP,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.7,,,,0,0,0,0.0,0,0
172,Wilson,COV,GKP,4.5,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.5,,,,0,0,0,0.0,0,0
173,Thomas,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,8.0,,,,0,0,0,0.0,0,0
174,Kitching,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.7,,,,0,0,0,0.0,0,0
175,van Ewijk,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,14.1,,,,0,0,0,0.0,0,0
176,Dasilva,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.8,,,,0,0,0,0.0,0,0
177,Kesler-Hayden,COV,DEF,4.0,a,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.1,,,,0,0,0,0.0,0,0
